0.002227,-0.0301,0.0588,1.0124,1.015
0.002517,-0.0316,0.0595,1.0092,1.011
0.002700,-0.0311,0.0590,1.0122,1.014
0.002871,-0.0301,0.0588,1.0134,1.016
0.008167,-0.0284,0.0570,1.0102,1.012
0.009057,-0.0298,0.0595,1.0090,1.011
0.010999,-0.0328,0.0612,1.0090,1.011
0.011926,-0.0306,0.0595,1.0112,1.013
0.020429,-0.0306,0.0602,1.0102,1.012
0.020743,-0.0328,0.0609,1.0117,1.014
0.020848,-0.0298,0.0622,1.0095,1.012
0.021591,-0.0313,0.0614,1.0073,1.010
0.026021,-0.0303,0.0609,1.0070,1.009
0.026333,-0.0313,0.0622,1.0095,1.012
0.029436,-0.0313,0.0646,1.0109,1.013
0.031596,-0.0328,0.0609,1.0102,1.013
0.033621,-0.0338,0.0629,1.0117,1.014
0.042197,-0.0338,0.0644,1.0109,1.014
0.042589,-0.0342,0.0641,1.0144,1.017
0.042731,-0.0316,0.0634,1.0156,1.018
0.043285,-0.0347,0.0653,1.0131,1.016
0.045226,-0.0352,0.0653,1.0100,1.013
0.048036,-0.0323,0.0656,1.0146,1.017
0.050281,-0.0340,0.0644,1.0190,1.022
0.052837,-0.0340,0.0673,1.0146,1.017
0.054551,-0.0340,0.0656,1.0095,1.012
0.059751,-0.0330,0.0666,1.0085,1.011
0.060809,-0.0313,0.0646,1.0114,1.014
0.062297,-0.0306,0.0661,1.0124,1.015
0.064130,-0.0325,0.0678,1.0083,1.011
0.066708,-0.0313,0.0683,1.0117,1.014
0.069669,-0.0323,0.0697,1.0136,1.017
0.072196,-0.0323,0.0678,1.0153,1.018
0.073905,-0.0313,0.0675,1.0144,1.017
0.076891,-0.0316,0.0671,1.0129,1.016
0.079052,-0.0303,0.0680,1.0136,1.016
0.081476,-0.0301,0.0671,1.0134,1.016
0.083206,-0.0318,0.0678,1.0141,1.017
0.085658,-0.0306,0.0702,1.0129,1.016
0.088435,-0.0303,0.0690,1.0139,1.017
0.090653,-0.0306,0.0712,1.0136,1.017
0.092777,-0.0303,0.0710,1.0158,1.019
0.094990,-0.0284,0.0685,1.0166,1.019
0.097896,-0.0298,0.0693,1.0161,1.019
0.100242,-0.0313,0.0710,1.0144,1.017
0.108329,-0.0308,0.0710,1.0131,1.016
0.108647,-0.0298,0.0688,1.0131,1.016
0.108778,-0.0306,0.0666,1.0122,1.015
0.110149,-0.0279,0.0690,1.0158,1.019
0.111605,-0.0308,0.0673,1.0141,1.017
0.115185,-0.0323,0.0678,1.0144,1.017
0.117070,-0.0303,0.0671,1.0129,1.016
0.118894,-0.0316,0.0658,1.0122,1.015
0.121890,-0.0306,0.0641,1.0144,1.017
0.123246,-0.0318,0.0658,1.0122,1.015
0.126386,-0.0347,0.0661,1.0126,1.015
0.128847,-0.0325,0.0646,1.0131,1.016
0.131560,-0.0340,0.0627,1.0114,1.014
0.132916,-0.0323,0.0617,1.0112,1.014
0.135619,-0.0350,0.0627,1.0119,1.014
0.138465,-0.0325,0.0614,1.0134,1.016
0.141002,-0.0335,0.0622,1.0136,1.016
0.143550,-0.0333,0.0619,1.0148,1.017
0.144787,-0.0340,0.0595,1.0131,1.015
